Algeria,21.7
Angola,25.8
Benin,27.2
Botswana,21.4
Burkina Faso,28.3
Burundi,23.8
Cameroon,26.7
Cape Verde,24.4
Central African Rep.,26.5
Chad,28.3
Congo,25.3
Djibouti,29.9
Egypt,21.4
Equatorial Guinea,26.3
Eritrea,30.5
Ethiopia,22.7
Gabon,26
The Gambia,26
Ghana,26.4
Guinea,26.5
Guinea-Bissau,27
Ivory Coast,26
Kenya,26.3
Libya,20
Madagascar,24.1
Malawi,22.2
Mali,28
Mauritania,25.7
Morocco,18.9
Mozambique,22.8
Niger,29.3
Nigeria,26.8
Republic of the Congo,25
Senegal,24
Somalia,27.1
South Africa,16.2
S. Sudan,27.8
Sudan,28.4
Tanzania,25.8
Togo,28.1
Tunisia,18.4
Uganda,20
Zambia,20.3
Zimbabwe,18.9
Afghanistan,12.1
Azerbaijan,15.1
Armenia,12.4
Bahrain,26.5
Bangladesh,25.9
Cambodia,28.3
China,12.9
East Timor,26.6
Georgia (country),14
Hong Kong,23.3
India,26.7
Indonesia,26.7
Iraq,22.77
Iran,17
Israel,20
Japan,15.4
Kazakhstan,10
North Korea,10.8
South Korea,12.5
Kuwait,25.7
Kyrgyzstan,11.3
Laos,25.9
Lebanon,20.9
Malaysia,27.3
Maldives,28
Mongolia,-0.4
Myanmar,28
Nepal,18.3
Oman,28
Pakistan,26
Philippines,28.4
Saudi Arabia,26
Singapore,27
Sri Lanka,27.4
Syria,17
Tajikistan,14.7
Taiwan,23
Thailand,27.3
Turkey,12
Turkmenistan,17.1
United Arab Emirates,26.9
Uzbekistan,14.8
Vietnam,25.8
Yemen,29.1
Albania,15.2
Austria,10.4
Belarus,6.7
Belgium,10.5
Bosnia and Herzegovina,10.1
Bulgaria,10.6
Croatia,10.7
Cyprus,19.7
Czech Republic,8.4
Denmark,9.1
Estonia,5.9
Finland,3.4
France,15.8
Germany,10.3
Greece,19.2
Hungary,11.3
Iceland,4.3
Italy,15.2
Latvia,6.2
Liechtenstein,10.1
Lithuania,6
Luxembourg,9.3
North Macedonia,12.4
Malta,18.8
Moldova,10.2
Monaco,16.4
Montenegro,15.3
Netherlands,10.2
Norway,5.7
Poland,8.5
Portugal,17.5
Romania,10.8
Russia,5.8
Serbia,12.5
Slovakia,10.5
Slovenia,10.9
Spain,19.2
Sweden,6.6
Switzerland,9.3
Turkey,13.9
Ukraine,8.4
United Kingdom,9.3
Antigua and Barbuda,26.9
Aruba,28.1
The Bahamas,24.6
Barbados,27
Belize,26.7
Bermuda,22.3
Canada,6.1
Cayman Islands,27.9
Costa Rica,22.6
Cuba,25.2
Cura?ao,28
Dominica,26.2
Dominican Republic,25.9
Greenland,-1.4
Honduras,26.2
Jamaica,27.4
Mexico,22.3
Nicaragua,27.3
Panama,28
El Salvador,23.1
Puerto Rico,27.2
Saint Pierre and Miquelon,5.7
United States,15.4
Australia,18.7
Chile,20.5
Fiji,25.6
New Zealand,13.2
Papua New Guinea,26.9
Solomon Islands,26.5
Vanuatu,24.3
Argentina,17.1
Bolivia,15.6
Brazil,23.2
Colombia,22.5
Ecuador,26.5
Falkland Islands,5.6
French Guiana,26.7
Guyana,26.8
Paraguay,22.7
Peru,19.2
Suriname,26.8
Uruguay,16.7
Venezuela,22
Namibia,26
W. Sahara,25.5
Cote d'Ivoire,26.5
Liberia,26
Sierra Leone,26.3
